"Name","Team","Class","Year","Position","Height","FG.Pct","ThreePt.Pct","FT.Pct","Rebounds","Assists","Blocks","Steals","Points"
"Bingham, Candyce","Louisville","Sr.","2008-09","F",72,44.855,33.333,76.667,7.282,1.692,0.333,1.615,12.513
"Burke, Becky","Louisville","Fr.","2008-09","G",71,38.158,31.897,88.372,1.763,0.789,0.026,0.632,5.026
"Byrd, Deseree","Louisville","So.","2008-09","G",69,40.385,41.176,72.5,2.763,5.026,0.053,0.921,7.605
"Hines, Keshia","Louisville","So.","2008-09","F",73,54.45,,57.143,4.821,0.641,0.641,1.385,6.359
"Howard, Janae","Louisville","Fr.","2008-09","F",73,40,43.478,66.667,1.424,0.212,0.242,0.273,3.273
"Jackson, Mary","Louisville","Fr.","2008-09","G",70,33.824,25,69.643,2.474,0.342,0.026,0.263,2.289
"McCoughtry, Angel","Louisville","Sr.","2008-09","F",73,43.692,30.714,74.349,9.282,1.872,1.077,4.205,23.103
"Radde, Brandie","Louisville","Jr.","2008-09","G",71,29.897,27.536,100,1.857,0.857,0.048,0.333,3.762
"Reid, Monique","Louisville","Fr.","2008-09","F",73,45.856,25,67.742,3.806,0.25,0.139,0.417,5.917
"Rucker, Gwen","Louisville","Fr.","2008-09","F",73,32.394,33.333,80,2.125,0.125,0.438,0.313,2.5
"Stephen, Tiera","Louisville","Fr.","2008-09","G",67,24.324,50,73.684,0.811,1.378,0.135,0.757,0.919
"Terry, Laura","Louisville","So.","2008-09","F",73,59.375,33.333,52.941,0.952,0.286,0.048,0.286,2.333
"Charles, Tina","UConn","Jr.","2008-09","C",76,61.962,,68.132,8.923,1.051,1.59,0.897,16.462
"Dixon, Lorin","UConn","So.","2008-09","G",64,36.364,15.385,64.583,1.615,1.821,0.051,0.436,2.282
"Doty, Caroline","UConn","Fr.","2008-09","G",70,44.828,40,86.667,3.353,1.941,0.235,0.941,8.647
"Fernandes, Jacquie","UConn","Jr.","2008-09","G",69,34.783,37.5,50,0.567,0.067,,0.1,0.767
"Gardler, Meghan","UConn","Jr.","2008-09","F",72,40.426,31.25,55.556,1.938,0.656,0.094,0.375,1.813
"Greene, Kalana","UConn","Sr.","2008-09","G",70,58.264,20,76.923,4.641,1.744,0.282,0.949,8.667
"Hayes, Tiffany","UConn","Fr.","2008-09","G",70,45.798,37.398,75.904,4,2.615,0.385,1.128,8.385
"Kerns, Cassie","UConn","Sr.","2008-09","C",75,22.222,,25,0.278,0.167,0.111,0.111,0.278
"McLaren, Kaili","UConn","Jr.","2008-09","F",74,53.509,,72.549,3.421,1.921,0.579,0.5,4.184
"Montgomery, Renee","UConn","Sr.","2008-09","G",67,44.752,38.077,74.4,2.103,5.103,0.231,1.564,16.513
"Moore, Maya","UConn","So.","2008-09","F",73,52.11,39.823,78.049,8.923,3.256,1.513,1.949,19.333
"Williams, Tahirah","UConn","Sr.","2008-09","G",72,54.098,,73.333,1.879,0.667,0.121,0.273,2.667
