"First","Last","League","Team","Position","Games","AB","Hits","Ave","Runs","Doubles","Triples","Homeruns","RBI","BB","SO","OPS","SLG","OBP","SB","CS"
"Bobby","Abreu","National","PHI","OF",162,588,168,0.2857142857142857,104,37,1,24,102,117,134,0.879,0.4744897959183674,0.405,31,9
"Russ","Adams","American","TOR","SS",139,481,123,0.25571725571725573,68,27,5,8,63,50,57,0.707,0.38253638253638256,0.325,11,2
"Edgardo","Alfonzo","National","SF","3B",109,368,102,0.27717391304347827,36,17,1,2,43,27,34,0.672,0.3451086956521739,0.327,2,0
"Moises","Alou","National","SF","OF",123,427,137,0.32084309133489464,67,21,3,19,63,56,43,0.918,0.5175644028103045,0.4,5,1
"Garret","Anderson","American","ANA","OF",142,575,163,0.28347826086956524,68,34,1,17,96,23,84,0.743,0.43478260869565216,0.308,1,1
"Garrett","Atkins","National","COL","3B",138,519,149,0.28709055876685935,62,31,1,13,89,45,72,0.773,0.4258188824662813,0.347,0,2
"Rich","Aurilia","National","CIN","2B",114,426,120,0.28169014084507044,61,23,2,14,68,37,67,0.782,0.44366197183098594,0.338,2,0
"Brad","Ausmus","National","HOU","C",134,387,100,0.25839793281653745,35,19,0,3,47,51,48,0.682,0.330749354005168,0.351,5,3
"Rod","Barajas","American","TEX","C",120,410,104,0.25365853658536586,53,24,0,21,60,26,70,0.771,0.4658536585365854,0.306,0,0
"Clint","Barmes","National","COL","SS",81,350,101,0.2885714285714286,55,19,1,10,46,16,36,0.764,0.4342857142857143,0.33,6,4
"Michael","Barrett","National","CHI","C",133,424,117,0.2759433962264151,48,32,3,16,61,40,61,0.824,0.47877358490566035,0.345,0,3
"Jason","Bay","National","PIT","OF",162,599,183,0.3055091819699499,110,44,6,32,101,95,142,0.961,0.5592654424040067,0.402,21,1
"David","Bell","National","PHI","3B",150,557,138,0.24775583482944344,53,31,1,10,61,47,69,0.671,0.3608617594254937,0.31,0,1
"Ronnie","Belliard","American","CLE","2B",145,536,152,0.2835820895522388,71,36,1,17,78,35,72,0.774,0.4496268656716418,0.325,2,2
"Adrian","Beltre","American","SEA","3B",156,603,154,0.25538971807628524,69,36,1,19,87,38,108,0.716,0.4129353233830846,0.303,3,1
"Carlos","Beltran","National","NY","OF",151,582,155,0.2663230240549828,83,34,2,16,78,56,96,0.744,0.41408934707903783,0.33,17,6
"Lance","Berkman","National","HOU","1B",132,468,137,0.29273504273504275,76,34,1,24,82,91,72,0.934,0.5235042735042735,0.411,4,1
"Angel","Berroa","American","KC","SS",159,608,164,0.26973684210526316,68,21,5,11,55,18,108,0.68,0.375,0.305,7,5
"Craig","Biggio","National","HOU","2B",155,590,156,0.26440677966101694,94,40,1,26,69,37,90,0.792,0.46779661016949153,0.325,11,1
"Casey","Blake","American","CLE","OF",147,523,126,0.24091778202676864,72,32,1,23,58,43,116,0.746,0.4378585086042065,0.308,4,5
"Hank","Blalock","American","TEX","3B",161,647,170,0.26275115919629055,80,34,0,25,92,51,132,0.749,0.4312210200927357,0.318,1,0
"Geoff","Blum","National","SD","3B",109,319,73,0.22884012539184953,32,15,2,6,25,28,43,0,0.3448275862068966,0.2910662824207493,3,3
"Aaron","Boone","American","CLE","3B",143,511,124,0.24266144814090018,61,19,1,16,60,35,92,0.677,0.3776908023483366,0.299,9,3
"Bret","Boone","American","SEA","2B",88,326,72,0.22085889570552147,33,15,3,7,37,28,65,0,0.3496932515337423,0.2824858757062147,4,2
"Ben","Broussard","American","CLE","1B",142,466,119,0.2553648068669528,59,30,5,19,68,32,98,0.77,0.463519313304721,0.307,2,2
"Emil","Brown","American","KC","OF",150,545,156,0.28623853211009176,75,31,5,17,86,48,108,0.804,0.45504587155963305,0.349,10,1
"John","Buck","American","KC","C",118,401,97,0.24189526184538654,40,21,1,12,47,23,94,0.676,0.38902743142144636,0.287,2,2
"Chris","Burke","National","HOU","OF",108,318,79,0.24842767295597484,49,19,2,5,26,23,62,0.677,0.36792452830188677,0.309,11,6
"Jeromy","Burnitz","National","CHI","OF",160,605,156,0.2578512396694215,84,31,2,24,87,57,109,0.757,0.43471074380165287,0.322,5,4
"Pat","Burrell","National","PHI","OF",154,562,158,0.28113879003558717,78,27,1,32,117,99,160,0.892,0.50355871886121,0.389,0,0
"Eric","Byrnes","American","OAK","OF",126,412,93,0.22572815533980584,49,24,3,10,40,32,71,0,0.3713592233009709,0.28153153153153154,7,2
"Miguel","Cabrera","National","FLA","OF",158,613,198,0.32300163132137033,106,43,2,33,116,64,125,0.947,0.5611745513866232,0.385,1,0
"Orlando","Cabrera","American","ANA","SS",141,540,139,0.2574074074074074,70,28,3,8,57,38,50,0.674,0.3648148148148148,0.309,21,2
"Miguel","Cairo","National","NY","2B",100,327,82,0.25076452599388377,31,18,0,2,19,19,31,0.62,0.3241590214067278,0.296,13,3
"Mike","Cameron","National","NY","OF",76,308,84,0.2727272727272727,47,23,2,12,39,29,85,0.819,0.4772727272727273,0.342,13,1
"Robinson","Cano","American","NY","2B",132,522,155,0.29693486590038315,78,34,4,14,62,16,68,0.778,0.4578544061302682,0.32,1,3
"Jorge","Cantú","American","TB","2B",150,598,171,0.28595317725752506,73,40,1,28,117,19,83,0.808,0.49665551839464883,0.311,1,0
"Jamey","Carroll","National","WAS","2B",113,303,76,0.2508250825082508,44,8,1,0,22,34,55,0.617,0.2838283828382838,0.333,3,4
"Sean","Casey","National","CIN","1B",137,529,165,0.31190926275992437,75,32,0,9,58,48,48,0.795,0.42344045368620037,0.371,2,0
"Jose","Castillo","National","PIT","2B",101,370,99,0.26756756756756755,49,16,3,11,53,23,59,0.724,0.41621621621621624,0.307,2,3
"Luis","Castillo","National","FLA","2B",122,439,132,0.30068337129840544,72,12,4,4,30,65,32,0.765,0.3735763097949886,0.391,10,7
"Vinny","Castilla","National","WAS","3B",142,494,125,0.25303643724696356,53,36,1,12,66,43,82,0.722,0.402834008097166,0.319,4,2
"Frank","Catalanotto","American","TOR","OF",130,419,126,0.30071599045346065,56,29,5,8,59,37,53,0.818,0.4510739856801909,0.367,0,2
"Eric","Chavez","American","OAK","3B",160,625,168,0.2688,92,40,1,27,101,58,129,0.794,0.4656,0.329,6,0
"Hee-Seop","Choi","National","LA","1B",133,320,81,0.253125,40,15,2,15,42,34,80,0.789,0.453125,0.336,1,3
"Alex","Cintron","National","ARI","SS",122,330,90,0.2727272727272727,36,19,2,8,48,12,33,0.713,0.41515151515151516,0.298,1,2
"Brady","Clark","National","MIL","OF",145,599,183,0.3055091819699499,94,31,1,13,53,47,55,0.798,0.4257095158597663,0.372,10,13
"Tony","Clark","National","ARI","1B",130,349,106,0.3037249283667622,47,22,2,30,87,37,88,1.003,0.6361031518624641,0.366,0,0
