ID,Fish,Change,Year
1,34.7,2.889002058,1971
2,39.3,3.060519505,1972
3,32.4,-1.232677973,1973
4,31.8,-1.096106896,1974
5,32.8,-3.302229825,1975
6,38.4,3.739129514,1976
7,33.2,1.887948375,1977
8,29.7,-0.301645521,1978
9,25,-5.879278283,1979
10,21.8,-7.850613012,1980
11,20.8,-5.467926059,1981
12,19.7,-7.24435127,1982
13,20.8,-4.13835946,1983
14,21.1,-8.634025949,1984
15,21.3,-5.535350487,1985
16,24.3,-0.683738837,1986
17,27.4,-5.124740626,1987
18,24.5,-7.083396911,1988
19,25.2,-4.227716449,1989
20,25.9,0.863054412,1990
21,23,-6.052020173,1991
22,27.1,-4.123690613,1992
23,23.4,-4.835800864,1993
24,18.9,-11.26046717,1994
25,19.6,-9.299726844,1995
26,25.3,-10.74058864,1996
27,22,-1.809704926,1997
28,21,-7.381606897,1998
29,23,-22.85743195,1999
