"name","Division","Finish","FinishMin"
"Bonezzi Jeff","25-29","2:43:43",164
"Ream Jason","30-34","2:39:25",159
"Marin Daniel","20-24","2:50:58",171
"Kapusinski Shaun","35-39","2:50:47",171
"Shelton Brian","35-39","2:37:38",158
"Kanezane Shogo","25-29","2:20:40",141
"Kazery Peter","20-24","2:35:16",155
"Viano Austin","20-24","2:40:45",161
"Contreras Mora Luis","25-29","2:46:08",166
"Mcnamara Sean","25-29","2:38:35",159
"Sims Evan","35-39","2:36:39",157
"McDonough Matthew","30-34","2:52:55",173
"Shunk Alec","25-29","2:44:24",164
"Ovsyannikov Sergey","35-39","2:53:00",173
"McCaleb Graham","30-34","2:39:19",159
"Shields Rex","25-29","2:25:09",145
"Vargas Roy","35-39","2:35:02",155
"Bragg Isaiah","20-24","2:35:43",156
"Rogers Alexander","35-39","2:43:04",163
"Sharkey Bryan","25-29","2:28:11",148
"Kittaka Daniel","25-29","2:33:29",153
"Moutos Christopher","20-24","2:44:14",164
"Richardson Kenneth","35-39","2:50:37",171
"Briot Thomas","30-34","2:25:29",145
"Bucci Daniel","30-34","2:52:55",173
"Castro Sebastián","25-29","2:47:03",167
"Teunissen Tony","35-39","2:44:50",165
"Barr David","30-34","2:45:44",166
"Yoshii Satoshi","30-34","2:20:33",141
"Williams Andy","25-29","2:22:54",143
"Dudley Tyler","25-29","2:32:53",153
"Sr. Gonzalez Francisco","30-34","2:36:46",157
"Wietecha Scott","30-34","2:17:02",137
"Russeau Alex","25-29","2:27:28",147
"Van Winkle Eric","30-34","2:49:50",170
"Coffey Kevin","25-29","2:36:44",157
"Edinger Nick","20-24","2:28:20",148
"Tyner Alexander","20-24","2:33:41",154
"Keefe Bradley","30-34","2:34:34",155
"Hadzima Jeffrey","35-39","2:47:28",167
"Alban Bradley","25-29","2:34:10",154
"Pierson Roy","35-39","2:53:57",174
"Mull Brandon","25-29","2:22:54",143
"Shewbridge Spencer","20-24","2:53:56",174
"Ziltener Aaron","25-29","2:44:16",164
"Turner Wesley","25-29","2:27:45",148
"Hird Nick","30-34","2:27:29",147
"Hastings Andrew","35-39","2:43:52",164
"Hia Caleb","20-24","2:45:43",166
"Christiansen Jed","25-29","2:38:01",158
"Impellitteri Sal","30-34","2:49:46",170
"Wood Samuel","25-29","2:48:15",168
"Nishimura Akira","35-39","2:49:37",170
"Hamilton Joel","30-34","2:27:37",148
"Fellows Brandon","25-29","2:39:50",160
"Davy Matthew","30-34","2:26:21",146
"Douville Christopher","25-29","2:53:45",174
"Herman Jeffrey","30-34","2:48:27",168
"Neill Ian","30-34","2:33:25",153
"Dockemeyer Kevin","25-29","2:48:18",168
"Basham Cort","35-39","2:50:39",171
"Lippoldt Torsten","35-39","2:53:03",173
"Akita James","35-39","2:32:50",153
"Miller Ryan","25-29","2:37:45",158
"Zhang Yu","30-34","2:44:03",164
"Pascoe John","30-34","2:51:30",171
"Agostinetto Carlo","35-39","2:35:50",156
"Cook Riley","30-34","2:26:26",146
"Hanson Erik","25-29","2:28:21",148
"Peters Nathan","25-29","2:24:02",144
"Penny J","25-29","2:27:38",148
"Lebak Nathan","35-39","2:52:43",173
"Nickerson Todd","25-29","2:52:30",172
"Richnavsky Scott","30-34","2:49:41",170
"Togami Katsuhiro","35-39","2:53:29",173
"Erichsen Chris","25-29","2:32:33",153
"Jordan Douglas","20-24","2:53:55",174
"Torphy Bobby","25-29","2:31:10",151
"Wakefield Brian","35-39","2:34:38",155
"Pannone Christopher","25-29","2:23:38",144
