ID,Eggs,Bird
1,19.65,MeadowPipit
2,20.05,MeadowPipit
3,20.65,MeadowPipit
4,20.85,MeadowPipit
5,21.65,MeadowPipit
6,21.65,MeadowPipit
7,21.65,MeadowPipit
8,21.85,MeadowPipit
9,21.85,MeadowPipit
10,21.85,MeadowPipit
11,22.05,MeadowPipit
12,22.05,MeadowPipit
13,22.05,MeadowPipit
14,22.05,MeadowPipit
15,22.05,MeadowPipit
16,22.05,MeadowPipit
17,22.05,MeadowPipit
18,22.05,MeadowPipit
19,22.05,MeadowPipit
20,22.05,MeadowPipit
21,22.25,MeadowPipit
22,22.25,MeadowPipit
23,22.25,MeadowPipit
24,22.25,MeadowPipit
25,22.25,MeadowPipit
26,22.25,MeadowPipit
27,22.25,MeadowPipit
28,22.25,MeadowPipit
29,22.45,MeadowPipit
30,22.45,MeadowPipit
31,22.45,MeadowPipit
32,22.65,MeadowPipit
33,22.65,MeadowPipit
34,22.85,MeadowPipit
35,22.85,MeadowPipit
36,22.85,MeadowPipit
37,22.85,MeadowPipit
38,23.05,MeadowPipit
39,23.25,MeadowPipit
40,23.25,MeadowPipit
41,23.45,MeadowPipit
42,23.65,MeadowPipit
43,23.85,MeadowPipit
44,24.25,MeadowPipit
45,24.45,TreePipit
46,21.05,TreePipit
47,21.85,TreePipit
48,22.05,TreePipit
49,22.45,TreePipit
50,22.65,TreePipit
51,23.25,TreePipit
52,23.25,TreePipit
53,23.25,TreePipit
54,23.45,TreePipit
55,23.45,TreePipit
56,23.65,TreePipit
57,23.85,TreePipit
58,24.05,TreePipit
59,24.05,TreePipit
60,24.05,TreePipit
61,20.85,HedgeSparrow
62,21.65,HedgeSparrow
63,22.05,HedgeSparrow
64,22.85,HedgeSparrow
65,23.05,HedgeSparrow
66,23.05,HedgeSparrow
67,23.05,HedgeSparrow
68,23.05,HedgeSparrow
69,23.45,HedgeSparrow
70,23.85,HedgeSparrow
71,23.85,HedgeSparrow
72,23.85,HedgeSparrow
73,24.05,HedgeSparrow
74,25.05,HedgeSparrow
75,21.05,Robin
76,21.85,Robin
77,22.05,Robin
78,22.05,Robin
79,22.05,Robin
80,22.25,Robin
81,22.45,Robin
82,22.45,Robin
83,22.65,Robin
84,23.05,Robin
85,23.05,Robin
86,23.05,Robin
87,23.05,Robin
88,23.05,Robin
89,23.25,Robin
90,23.85,Robin
91,21.05,PiedWagtail
92,21.85,PiedWagtail
93,21.85,PiedWagtail
94,21.85,PiedWagtail
95,22.05,PiedWagtail
96,22.45,PiedWagtail
97,22.65,PiedWagtail
98,23.05,PiedWagtail
99,23.05,PiedWagtail
100,23.25,PiedWagtail
101,23.45,PiedWagtail
102,24.05,PiedWagtail
103,24.05,PiedWagtail
104,24.05,PiedWagtail
105,24.85,PiedWagtail
106,19.85,Wren
107,20.05,Wren
108,20.25,Wren
109,20.85,Wren
110,20.85,Wren
111,20.85,Wren
112,21.05,Wren
113,21.05,Wren
114,21.05,Wren
115,21.25,Wren
116,21.45,Wren
117,22.05,Wren
118,22.05,Wren
119,22.05,Wren
120,22.25,Wren
