"ID","Region","Gender","Race","Education","Marital","Religion","Happy","Income","PolParty","Politics","Marijuana","DeathPenalty","OwnGun","GunLaw","SpendMilitary","SpendEduc","SpendEnv","SpendSci","Pres00","Postlife"
1,"South Central","Female","White","HS","Divorced","Inter-nondenominational","Pretty happy","30000-34999","Strong Rep","Conservative",NA,"Favor","No","Favor","Too little","Too little","About right","About right","Bush","Yes"
2,"South Central","Male","White","Bachelors","Married","Protestant","Pretty happy","75000-89999","Not Str Rep","Conservative","Not legal","Favor","Yes","Oppose","About right","Too little","About right","About right","Bush","Yes"
3,"South Central","Female","White","HS","Separated","Protestant",NA,"35000-39999","Strong Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
4,"South Central","Female","White","Left HS","Divorced","Protestant",NA,"50000-59999","Ind, Near Dem",NA,NA,NA,NA,NA,"About right","Too little","Too little","Too little",NA,NA
5,"South Central","Male","White","Left HS","Divorced","Protestant",NA,"40000-49999","Ind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"South Central","Male","White","HS","Divorced","Catholic","Pretty happy","40000-49999","Ind, Near Rep","Conservative",NA,"Favor","Yes","Oppose","Too little","Too little","Too little","Too little","Bush","Yes"
7,"South Central","Female","White","Bachelors","Married","Protestant",NA,NA,"Strong Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
8,"South Central","Female","White","HS","Married","Protestant",NA,NA,"Ind",NA,NA,NA,NA,NA,"Too little","Too little","About right","About right","Bush",NA
9,"South Central","Male","White","HS","Divorced","Catholic","Not too happy","60000-74999","Strong Rep","Conservative","Legal","Favor","Yes","Oppose",NA,NA,NA,NA,"Bush","Yes"
10,"South Central","Female","Other","HS","Never Married","Catholic",NA,"under 1000","Ind, Near Rep",NA,NA,NA,NA,NA,"Too much","Too little","Too little","Too little",NA,NA
11,"South Central","Male","White","HS","Married","None",NA,"50000-59999","Strong Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"South Central","Male","White","Left HS","Married","Protestant",NA,"110000-129999","Not Str Rep",NA,NA,NA,NA,NA,"About right","About right","Too much","Too much","Bush",NA
13,"South Central","Male","Black","Graduate","Married","Catholic",NA,"90000-109999","Not Str Dem",NA,NA,NA,NA,NA,"Too much","About right","Too little","About right",NA,NA
14,"South Central","Female","White","HS","Divorced","Protestant","Pretty happy","10000-124999","Strong Rep","Slightly conservative","Not legal","Favor","No","Favor",NA,NA,NA,NA,"Bush","Yes"
15,"South Central","Female","Other","HS","Married","Moslem/Islam",NA,NA,"Ind, Near Rep",NA,NA,NA,NA,NA,"About right","Too much","Too much","Too much",NA,NA
16,"South Central","Female","White","HS","Married","Orthodox-Christian",NA,NA,"Ind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"South Central","Female","White","HS","Divorced","Christian","Not too happy",NA,"Not Str Rep","Slightly conservative",NA,"Favor","No","Favor","About right","Too little","Too little","About right",NA,"Yes"
18,"South Central","Male","White","HS","Never Married","Protestant","Very happy","40000-49999","Strong Rep","Slightly conservative","Legal","Favor",NA,NA,NA,NA,NA,NA,"Bush","Yes"
19,"South Central","Male","White","Jr Col","Divorced","None","Pretty happy","75000-89999","Ind, Near Dem","Slightly conservative","Legal","Favor","Yes","Oppose","Too little","About right","Too much","About right",NA,NA
20,"South Central","Male","White","HS","Never Married","None",NA,"25000-29999","Other party",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nader",NA
21,"South Central","Female","Black","HS","Never Married","Protestant",NA,"25000-29999","Ind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"South Central","Male","Black","HS","Separated","Catholic","Pretty happy","17500-19999","Not Str Dem","Moderate",NA,"Oppose","No","Favor","About right","Too little","Too little","About right",NA,"Yes"
23,"South Central","Male","Other","Bachelors","Married","Moslem/Islam","Not too happy","50000-59999","Not Str Dem","Liberal","Legal","Favor",NA,NA,NA,NA,NA,NA,"Gore","Yes"
24,"South Central","Female","Black","HS","Married","Protestant",NA,"40000-49999","Not Str Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
25,"South Central","Male","White","HS","Married","Protestant",NA,"40000-49999","Strong Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
26,"South Central","Female","White","HS","Widowed","Protestant",NA,NA,"Other party",NA,NA,NA,NA,NA,"Too little","Too little","About right","About right","Bush",NA
27,"South Central","Female","White","HS","Widowed","Catholic","Pretty happy",NA,"Other party","Slightly liberal",NA,"Favor","No","Favor",NA,NA,NA,NA,"Bush","Yes"
28,"South Central","Female","Other","Bachelors","Divorced","None",NA,"25000-29999","Ind, Near Dem",NA,NA,NA,NA,NA,"Too much","Too little","Too little","Too little",NA,NA
29,"South Central","Female","Other","HS","Never Married","Catholic",NA,"1000-2999","Ind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"South Central","Female","White","HS","Never Married","Protestant",NA,"10000-124999","Ind",NA,NA,NA,NA,NA,"About right",NA,"About right",NA,NA,NA
31,"South Central","Female","Black","Jr Col","Divorced","None",NA,"60000-74999","Ind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"South Central","Male","White","Bachelors","Married","Protestant","Very happy","30000-34999","Strong Dem","Moderate",NA,"Favor","No","Favor","Too little","Too little","Too little","Too little","Gore","No"
33,"South Central","Female","White","Bachelors","Never Married","Catholic","Very happy","50000-59999","Strong Dem","Slightly liberal","Not legal","Oppose",NA,NA,NA,NA,NA,NA,"Gore","Yes"
34,"South Central","Male","White","Graduate","Never Married","Jewish","Pretty happy","75000-89999","Strong Dem","Slightly conservative","Legal","Oppose","No","Favor","About right","Too little","Too little","About right","Gore","Yes"
35,"South Central","Male","White","Bachelors","Never Married","Protestant",NA,"4000-4999","Ind, Near Dem",NA,NA,NA,NA,NA,"Too much","Too little","Too little","About right","Gore",NA
36,"South Central","Male","White","Left HS","Widowed","Catholic","Pretty happy","under 1000","Ind, Near Rep","Moderate",NA,"Oppose","Yes","Oppose",NA,NA,NA,NA,"Bush","Yes"
37,"South Central","Female","White","Left HS","Married","Protestant","Not too happy","7000-7999","Not Str Dem","Slightly liberal","Legal","Oppose",NA,NA,"About right","About right","Too little","About right",NA,"Yes"
38,"South Central","Female","White","Graduate","Never Married","None","Very happy","60000-74999","Ind","Moderate",NA,"Favor","Yes","Oppose",NA,NA,NA,NA,"Nader","Yes"
39,"South Central","Male","White","HS","Divorced","None",NA,"130000-149999","Other party",NA,NA,NA,NA,NA,"About right","Too much","About right","Too much",NA,NA
40,"South Central","Male","White","HS","Divorced","Protestant",NA,"40000-49999","Not Str Rep",NA,NA,NA,NA,NA,"Too little","Too little","About right","Too little","Bush",NA
41,"South Central","Female","White","Bachelors","Never Married","Protestant","Very happy",NA,"Strong Rep","Conservative",NA,"Favor","No","Favor",NA,NA,NA,NA,"Bush","Yes"
42,"South Central","Female","Other","Left HS","Separated","Catholic",NA,"10000-124999","Ind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"South Central","Female","White","Bachelors","Divorced","Protestant","Pretty happy","30000-34999","Not Str Rep","Moderate","Not legal","Favor",NA,NA,NA,NA,NA,NA,"Bush",NA
44,"South Central","Female","Black","Jr Col","Divorced","Protestant",NA,"35000-39999","Strong Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gore",NA
45,"South Central","Female","White","HS","Married","Protestant",NA,"7000-7999","Strong Rep",NA,NA,NA,NA,NA,"Too little","Too little","Too little","Too much","Bush",NA
46,"South Central","Male","White","HS","Never Married","Inter-nondenominational","Very happy","35000-39999","Not Str Rep","Slightly liberal",NA,"Favor","Yes","Favor",NA,NA,NA,NA,NA,"Yes"
47,"South Central","Male","White","HS","Never Married","Christian","Pretty happy","under 1000","Not Str Dem","Extremely liberal","Legal","Favor",NA,NA,"Too much","About right","Too little","About right",NA,"Yes"
48,"South Central","Male","White","Jr Col","Married","Protestant","Very happy",NA,"Not Str Rep","Moderate","Not legal","Favor","Yes","Oppose",NA,NA,NA,NA,"Bush","No"
49,"South Central","Female","White","HS","Divorced","Protestant",NA,"40000-49999","Strong Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bush",NA
50,"South Central","Female","White","HS","Married","Christian",NA,NA,"Ind, Near Dem",NA,NA,NA,NA,NA,"Too little","Too little","Too little","About right",NA,NA
51,"South Central","Female","White","HS","Married","Protestant","Very happy",NA,"Ind, Near Rep","Slightly conservative",NA,"Favor","Refused","Favor",NA,NA,NA,NA,"Bush","Yes"
52,"South Central","Male","White","HS","Married","Protestant","Pretty happy",NA,"Ind, Near Rep","Slightly conservative","Not legal","Favor",NA,NA,"Too little","Too much","Too much","Too much","Bush","Yes"
53,"South Central","Male","White","HS","Divorced","Protestant","Not too happy","17500-19999","Strong Rep","Moderate","Legal","Favor","Yes","Oppose",NA,NA,NA,NA,NA,"Yes"
54,"South Central","Female","White","Bachelors","Married","Christian",NA,"35000-39999","Ind, Near Rep",NA,NA,NA,NA,NA,"About right","Too little","Too little","Too little",NA,NA
