"ID","Region","Gender","Degree","Marital","Religion","Happy","Income","Politics","Marijuana","DeathPenalty","OwnGun","SpendMilitary","SpendEduc","SpendEnv","SpendSci","Pres04","Postlife"
1,"Mid-Atl","Female","HS","Never Married","None","Pretty happy","30000-34999","Extremely liberal","Not legal","Favor","No","NA","NA","NA","About right","Kerry","Yes"
2,"Mid-Atl","Male","HS","Never Married","Catholic","Very happy","60000-74999","Slightly liberal","Not legal","Favor","NA","About right","Too little","Too little","Too much","NA","NA"
3,"Mid-Atl","Female","Left HS","Divorced","Catholic","Pretty happy","NA","Conservative","Not legal","Oppose","NA","NA","NA","NA","NA","NA","No"
4,"Mid-Atl","Female","HS","Never Married","Protestant","Very happy","1000-2999","Slightly liberal","NA","Oppose","No","Too much","Too little","Too much","Too little","Kerry","Yes"
5,"Mid-Atl","Male","HS","Never Married","Catholic","Pretty happy","NA","Liberal","NA","Oppose","No","Too much","Too little","Too little","About right","Kerry","Yes"
6,"Mid-Atl","Female","Bachelors","Married","Protestant","Pretty happy","30000-34999","Moderate","Not legal","Favor","NA","Too little","About right","Too little","Too little","NA","Yes"
7,"Mid-Atl","Female","HS","Widowed","Protestant","Pretty happy","Refused","NA","Legal","Oppose","No","NA","About right","NA","About right","NA","NA"
8,"Mid-Atl","Female","Jr Col","Never Married","Christian","NA","1000-2999","Moderate","NA","NA","NA","NA","NA","NA","NA","Kerry","NA"
9,"Mid-Atl","Female","Bachelors","Never Married","None","Pretty happy","40000-49999","Conservative","NA","Favor","No","Too little","Too little","Too little","About right","Kerry","NA"
10,"Mid-Atl","Female","Graduate","Never Married","None","Very happy","Refused","Slightly liberal","NA","Oppose","No","NA","NA","NA","Too little","Bush","Yes"
11,"Mid-Atl","Female","Left HS","Widowed","Protestant","Not too happy","NA","Moderate","Legal","Oppose","No","Too much","Too little","Too little","Too little","Kerry","Yes"
12,"Mid-Atl","Male","HS","Never Married","Catholic","Pretty happy","NA","Moderate","NA","Favor","Yes","Too little","Too little","Too little","Too little","NA","NA"
13,"Mid-Atl","Male","Bachelors","Never Married","Buddhism","Not too happy","NA","Moderate","Not legal","Oppose","No","NA","NA","NA","Too little","Kerry","Yes"
14,"Mid-Atl","Male","Bachelors","Divorced","Catholic","Pretty happy","40000-49999","Moderate","Legal","Oppose","NA","NA","NA","NA","About right","Kerry","No"
15,"Mid-Atl","Female","HS","Married","Jewish","Very happy","NA","Moderate","Not legal","NA","NA","Too much","NA","NA","NA","Bush","Yes"
16,"Mid-Atl","Female","Graduate","Never Married","Protestant","NA","75000-89999","Liberal","NA","NA","NA","NA","NA","NA","NA","Kerry","NA"
17,"Mid-Atl","Male","Left HS","Never Married","Protestant","Very happy","NA","Slightly conservative","NA","Oppose","No","Too much","Too little","About right","About right","NA","Yes"
18,"Mid-Atl","Female","Left HS","Never Married","Protestant","Pretty happy","NA","Moderate","Legal","Oppose","NA","NA","NA","NA","NA","NA","Yes"
19,"Mid-Atl","Female","HS","Never Married","Catholic","Pretty happy","4000-4999","Moderate","Legal","NA","No","NA","NA","NA","NA","NA","NA"
20,"Mid-Atl","Female","HS","Never Married","Catholic","NA","NA","Moderate","NA","NA","NA","NA","NA","NA","NA","Kerry","NA"
21,"Mid-Atl","Female","Bachelors","Never Married","Protestant","Pretty happy","Refused","Moderate","Legal","Oppose","NA","NA","NA","NA","About right","NA","NA"
22,"Mid-Atl","Male","HS","Never Married","Protestant","Not too happy","8000-9999","Liberal","NA","Oppose","No","NA","NA","NA","Too little","NA","Yes"
23,"Mid-Atl","Female","Left HS","Never Married","Protestant","NA","10000-124999","Moderate","NA","NA","NA","NA","NA","NA","NA","Kerry","NA"
24,"Mid-Atl","Male","HS","Never Married","Protestant","NA","30000-34999","Liberal","NA","NA","NA","NA","NA","NA","NA","NA","NA"
25,"Mid-Atl","Female","HS","Never Married","Protestant","NA","NA","Liberal","NA","NA","NA","NA","NA","NA","NA","Kerry","NA"
26,"Mid-Atl","Male","Graduate","Never Married","Moslem/Islam","NA","NA","Moderate","NA","NA","NA","NA","NA","NA","NA","NA","NA"
27,"Mid-Atl","Female","Left HS","Married","Protestant","Pretty happy","NA","Slightly liberal","Not legal","Oppose","No","Too much","Too little","Too little","Too little","NA","NA"
28,"Mid-Atl","Male","Jr Col","Never Married","Catholic","NA","25000-29999","Moderate","NA","NA","NA","NA","NA","NA","NA","NA","NA"
29,"Mid-Atl","Female","Left HS","Married","Protestant","Pretty happy","NA","Moderate","NA","NA","No","Too little","About right","About right","About right","NA","Yes"
