Product,Size,Target,Walmart
Kellogg NutriGrain Bars,8 bars,2.50,2.78
Quaker Oats Life Cereal  Original ,18oz,3.19,6.01
General Mills Lucky Charms,11.50z,3.19,2.98
Quaker Oats Old Fashioned,18oz,2.82,2.68
Nabisco Oreo Cookies,14.3oz ,2.99,2.98
Nabisco Chips Ahoy,13oz,2.64,1.98
Doritos Nacho Cheese Chips,10oz,3.99,2.5
Cheez-it Original Baked,21oz,4.79,4.79
Swiss Miss Hot Chocolate,10 count,1.49,1.28
Tazo Chai Classic Latte Black Tea,32 oz ,3.49,2.98
Annie's Macaroni & Cheese,6oz,1.79,1.72
Rice A Roni Chicken,6.9oz,1.00,1.00
Zatarain's Jambalaya Rice Mix,8oz,1.62,1.54
SPAM Original Lunch Meat,12oz,2.79,2.64
Campbell's Chicken Noodle Soup,10.75oz,0.99,1.58
Dinty Moore Hearty Meals Beef Stew,15oz,1.99,1.98
Hormel  Chili with Beans,15oz,1.94,1.88
Dole Pineapple Chunks,20 oz,1.59,1.47
Skippy Creamy Peanut Butter,16.3oz,2.59,2.58
Smucker's Strawberry Preserve,18oz,2.99,2.84
Heinz Tomato Ketchup,32oz,2.99,2.88
Near East Couscous Toasted Pine Nuts mix,5.6oz,2.12,1.98
Barilla Angel Hair Pasta,16oz,1.42,1.38
Betty Crocker Super Moist Chocolate Fudge Cake Mix,15.25oz,1.22,1.17
Kraft Jet-Puffed Marshmllows,16oz,1.99,1.96
Dunkin' Donuts Original Blend Medium Roast Ground Coffee,12oz,7.19,6.98
Dove Promises Milk Chocolate,8.87oz,3.19,3.50
Skittles,41oz,7.99,6.98
Vlasic Kosher Dill Pickle Spears,24oz,2.39,2.18
Vlasic Old Fashioned Sauerkraut,32oz,1.99,1.97
