"Brand","VanillaCalories","VanillaFat","VanillaSugar","ChocolateCalories","ChocolateFat","ChocolateSugar"
"Baskin Robbins",260,16,26,260,14,31
"Ben & Jerry's",240,16,19,260,16,22
"Blue Bunny",140,7,12,130,7,14
"Breyers",140,7,13,140,8,16
"Brigham's",190,12,17,200,12,18
"Bulla",234,13.5,21.8,266,15,22.6
"Carvel",240,14,21,250,13,25
"Cass-Clay",130,7,11,150,7,16
"Chapman's",120,6,11,120,5,12
"Cold Stone",270,15.5,23,264,16.2,23.6
"Culver's",222,13,19,205,10,20
"Dairy Queen",140,4.5,19,150,5,17
"Dove",240,15,20,290,17,27
"Dreamery",260,15,24,280,12,33
"Edy's Grand",140,8,13,150,8,15
"Emack & Bolio's",160,9,12,170,9,13
"Good Humor",120,6,12,120,6,14
"Graeter's",260,16,24,260,16,24
"Green and Black",194,11.6,18,227,12.8,22.7
"Green's",150,8,17,140,8,15
"Haagen Dazs",270,18,21,270,18,21
"Hershey's",140,9,14,140,8,13
"Hill Station",226,15.6,16.8,235,14.3,21.2
"Kemp's",130,7,13,140,6,17
"Klein's",130,8,15,140,8,14
"Oberweis Dairy",307,21,23,320,21,19
"Our Family",130,7,11,130,6,15
"Perry's",140,8,15,140,7,15
"Ronnybrook Farm",240,16,20,260,19,21
"Ruggles",150,8,12,150,8,16
"Sara Lee",242,15.5,21.5,234,14.4,20.9
"Schwan's",140,7,12,140,7,12
"Sheer Bliss",300,19,27,320,19,29
"Smith's",150,8,13,150,8,13
"Stonyfield Farm",240,16,20,250,17,20
"Tillamook",160,9,10,170,9,13
"Turkey Hill",140,8,16,150,8,19
"Value Choice",130,6,12,130,6,15
"Whitey's",250,14,23,250,13,25
