ID,Country,Illit,Births
1,Albania,20.5,1.78
2,Algeria,39.1,2.44
3,Bahrain,15,2.34
4,Belize,5.9,2.97
5,Benin,73.5,5.6
6,Bolivia,18.5,3.65
7,Botswana,17.6,3.03
8,Brazil,11.9,2.29
9,Brunei,11.5,2.38
10,Burkina Faso,83.4,5.9
11,Burma,18.1,2.23
12,Burundi,54.8,6.8
13,Cambodia,39.8,3.89
14,Cape Verde,30.9,3.53
15,Central African Republic,60.1,4.73
16,Chad,60.7,6.3
17,China,19.6,1.81
18,Colombia,7.5,2.4
19,Comoros,50.7,3.76
20,"Congo, Democratic Republic of the",44.9,6.7
21,"Congo, Republic of the",21.6,5.6
22,Cote d'Ivoire,59.1,4.7
23,Djibouti,41.6,4.74
24,Dominican Republic,15.2,2.73
25,Ecuador,9.1,2.67
26,Egypt,53.1,3.1
27,El Salvador,22.3,2.76
28,Equatorial Guinea,21.6,5.89
29,Eritrea,52.4,5.24
30,Ethiopia,64.8,5.32
31,Fiji,8.1,2.79
32,"Gambia, The",66.9,4.4
33,Ghana,32.7,4.06
34,Guatemala,36.8,4.33
35,Guinea-Bissau,72.4,7.08
36,Haiti,48.8,3.75
37,Honduras,23,3.47
38,Hong Kong,9.5,0.97
39,India,51.7,2.84
40,Indonesia,15.9,2.27
41,Iran,27.4,2.07
42,Israel,6.2,2.82
43,Jamaica,8.3,2.38
44,Jordan,13.4,3.29
45,Kenya,20.3,4.98
46,Kuwait,18.3,2.39
47,Laos,43.4,4.5
48,Lebanon,17.8,2.25
49,Lesotho,5.5,3.4
50,Liberia,59.5,6.78
51,Libya,28.1,2.85
52,Macau,8,0.88
53,Madagascar,37.5,5.04
54,Malawi,50.3,5.84
55,Malaysia,14.7,2.74
56,Mali,82,6.72
57,Malta,6.4,1.37
58,Mauritania,68.1,5.59
59,Mauritius,17.4,1.98
60,Mexico,9.8,2.11
61,Mozambique,67.3,5.3
62,Namibia,16.3,3.66
63,Nicaragua,32.2,3.08
64,Niger,90.2,7.67
65,Nigeria,39,5.5
66,Oman,32.8,3.44
67,Pakistan,69.4,4.12
68,Panama,8.1,2.62
69,Papua New Guinea,40.6,3.8
70,Paraguay,7,3.67
71,Peru,13.3,2.74
72,Portugal,8.8,1.4
73,Puerto Rico,5.5,1.8
74,Qatar,15,2.89
75,Rwanda,35.2,5.8
76,Saudi Arabia,29.3,3.83
77,Senegal,69.2,4.9
78,Singapore,10.4,1.24
79,South Africa,14.3,2.78
80,Sri Lanka,10.1,1.91
81,Sudan,49.5,4.15
82,Swaziland,19.2,3.91
83,Syria,36.1,3.24
84,Tanzania,29.4,5.2
85,Thailand,5.4,1.89
86,Togo,53.1,5.03
87,Tunisia,35.6,2.04
88,Turkey,21.4,2.19
89,United Arab Emirates,18.5,2.43
90,Venezuela,6.9,2.65
91,Vietnam,8.5,1.78
92,Yemen,69.8,5.87
93,Zambia,25.2,5.4
94,Zimbabwe,12.9,3.34
