"","m.impr_post","m.impr_pre","m.click_post","m.click_pre","m.cost_post","m.cost_pre","m.conv_post","m.conv_pre","m.value_post","m.value_pre","m.cpm_pre","m.cpm_post","m.cpc_pre","m.cpc_post","m.cpa_pre","m.cpa_post","m.cpr_pre","m.cpr_post","mult.change","d.impr_post","d.impr_pre","d.click_post","d.click_pre","d.cost_post","d.cost_pre","d.conv_post","d.conv_pre","d.value_post","d.value_pre","d.cpm_pre","d.cpm_post","d.cpc_pre","d.cpc_post","d.cpa_pre","d.cpa_post","d.cpr_pre","d.cpr_post","error.cpr_pre","error.cpr_post"
"1",255,155,3,3,148.53,94.38,0,4,0,193,0.608903226,0.582470588,31.46,49.51,23.595,0,0.489015544,0,0,1466,1430,22,15,703.39,481.63,9,2,570,0,0.336804196,0.479802183,32.10866667,31.97227273,240.815,78.15444444,0,1.234017544,0.489015544,1.234017544
"2",18,4900,1,41,4.5,395.32,0,2,0,231.57,0.080677551,0.25,9.64195122,4.5,197.66,0,1.707129594,0,-0.21,64535,54535,348,297,5142.91,4084.68,51,60,3589.35,3904.85,0.074900156,0.079691795,13.75313131,14.77847701,68.078,100.8413725,1.046052985,1.432824885,0.661076608,1.432824885
"3",583,6858,2,46,8.17,162.05,0,2,0,46.3,0.023629338,0.014013722,3.522826087,4.085,81.025,0,3.5,0,-0.68,119831,86900,1001,685,5042.99,3000.78,117,109,4163.26,3419.64,0.034531415,0.042084185,4.38070073,5.037952048,27.53009174,43.10247863,0.877513422,1.211307965,2.622486578,1.211307965
"4",11498,3439,151,36,500.93,105.69,13,6,405.4,395.9,0.030732771,0.043566707,2.935833333,3.317417219,17.615,38.53307692,0.266961354,1.235643809,0.38,207,1097,1,4,2.54,7.08,0,0,0,0,0.006453965,0.012270531,1.77,2.54,0,0,0,0,0.266961354,1.235643809
"5",1554,1549,28,34,90.37,86.97,1,6,0,141.77,0.056145901,0.058153153,2.557941176,3.2275,14.495,90.37,0.613458419,0,0.5,5912,5281,52,37,144.15,118.23,3,7,74.3,243.72,0.022387805,0.024382612,3.195405405,2.772115385,16.89,48.05,0.485105859,1.940107672,0.128352559,1.940107672
"6",1886,1159,62,35,1166.75,699,40,28,1097.6,1240.41,0.603106126,0.618637328,19.97142857,18.81854839,24.96428571,29.16875,0.563523351,1.063001093,-0.3,8094,6021,185,95,3195.21,1404.71,112,63,3936.03,3308.56,0.233301777,0.394762787,14.78642105,17.27140541,22.29698413,28.52866071,0.424568392,0.811784971,0.138954959,0.251216122
"7",4859,891,57,7,228.15,17.91,0,4,0,212.55,0.02010101,0.046954106,2.558571429,4.002631579,4.4775,0,0.084262526,0,1,978,1010,6,8,9.25,15.64,1,0,0,0,0.015485149,0.009458078,1.955,1.541666667,0,9.25,0,0,0.084262526,0
"8",1015,347,19,11,43.14,23.55,2,6,9.5,62,0.067867435,0.042502463,2.140909091,2.270526316,3.925,21.57,0.37983871,4.541052632,0.12,144,311,0,2,0,2.3,0,0,0,0,0.007395498,0,1.15,0,0,0,0,0,0.37983871,4.541052632
"9",21,72,0,7,0,49.29,0,5,0,38.5,0.684583333,0,7.041428571,0,9.858,0,1.28025974,0,-0.32,148,152,2,1,6.86,7.55,1,1,0,0,0.049671053,0.046351351,7.55,3.43,7.55,6.86,0,0,1.28025974,0
"10",534,473,23,31,53,60.2,3,10,0,123.95,0.127272727,0.099250936,1.941935484,2.304347826,6.02,17.66666667,0.48567971,0,0,658,685,38,32,65.8,48.14,14,10,112.38,52,0.070277372,0.1,1.504375,1.731578947,4.814,4.7,0.925769231,0.585513437,0.440089521,0.585513437
"11",159,1166,2,17,15.18,81.01,0,8,0,69.38,0.069476844,0.095471698,4.765294118,7.59,10.12625,0,1.167627558,0,-1.28,3299,3647,18,41,70.61,178.5,8,20,101.26,187.46,0.048944338,0.021403456,4.353658537,3.922777778,8.925,8.82625,0.952203137,0.697313846,0.215424422,0.697313846
"12",85,399,2,10,5.54,29.61,0,4,0,9.5,0.074210526,0.065176471,2.961,2.77,7.4025,0,3.116842105,0,-0.61,456,485,2,2,7.6,6.9,4,2,38.5,56.76,0.014226804,0.016666667,3.45,3.8,3.45,1.9,0.121564482,0.197402597,2.995277623,0.197402597
"13",186,195,1,5,4.73,25.82,0,3,0,61.9,0.132410256,0.025430108,5.164,4.73,8.606666667,0,0.417124394,0,-0.05,905,724,13,10,40.65,27.64,0,0,0,0,0.038176796,0.044917127,2.764,3.126923077,0,0,0,0,0.417124394,0
"14",54,1327,1,13,4.36,45.82,0,4,0,39.9,0.034529013,0.080740741,3.524615385,4.36,11.455,0,1.148370927,0,-0.62,30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.148370927,0
"15",1538,1008,33,12,95.9,35.55,3,5,63.67,61.97,0.035267857,0.062353706,2.9625,2.906060606,7.11,31.96666667,0.573664676,1.506203864,-0.08,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573664676,1.506203864
"16",1557,2185,3,8,4.58,7.43,0,3,0,39.15,0.003400458,0.002941554,0.92875,1.526666667,2.476666667,0,0.189782886,0,0.13,29842,31689,115,125,323.53,343.12,26,30,516.83,693.12,0.010827732,0.010841432,2.74496,2.813304348,11.43733333,12.44346154,0.495036934,0.625989203,0.305254048,0.625989203
"17",817,616,22,14,22.6,9.43,1,6,0,38.55,0.015308442,0.027662179,0.673571429,1.027272727,1.571666667,22.6,0.24461738,0,0,587,528,1,5,0.41,2.09,0,2,0,12.4,0.003958333,0.000698467,0.418,0.41,1.045,0,0.168548387,0,0.076068993,0
"18",424,474,15,23,23.88,32.32,3,5,12.4,24.8,0.068185654,0.056320755,1.405217391,1.592,6.464,7.96,1.303225806,1.925806452,-0.15,1434,1402,62,47,86.88,65.76,11,18,75.75,114.3,0.046904422,0.060585774,1.399148936,1.401290323,3.653333333,7.898181818,0.575328084,1.146930693,0.727897722,0.778875759
"19",2474,1133,13,13,58.58,47.44,2,3,15,65.44,0.041871139,0.023678254,3.649230769,4.506153846,15.81333333,29.29,0.724938875,3.905333333,0.1,5163,4406,45,39,103.55,73.2,3,6,80.44,45,0.016613709,0.020056169,1.876923077,2.301111111,12.2,34.51666667,1.626666667,1.287294878,0.901727791,2.618038455
"20",878,1493,25,27,108.4,127.42,0,0,0,0,0.085344943,0.123462415,4.719259259,4.336,0,0,0,0,-0.15,4831,4260,27,35,150.43,188.24,7,7,193.95,206.26,0.044187793,0.031138481,5.378285714,5.571481481,26.89142857,21.49,0.912634539,0.775612271,0.912634539,0.775612271
"21",5311,3864,176,140,180.4,112.96,25,11,138.81,66.65,0.029233954,0.033967238,0.806857143,1.025,10.26909091,7.216,1.694823706,1.299618183,0.4,6267,6697,261,259,164.7,163.84,31,24,127.79,250.96,0.024464686,0.026280517,0.632586873,0.631034483,6.826666667,5.312903226,0.652853044,1.288833242,1.041970662,0.010784941
"22",13889,2076,59,5,455.31,20.28,4,4,22.83,157.32,0.009768786,0.032782058,4.056,7.717118644,5.07,113.8275,0.12890923,19.9434954,0.6,26320,24139,61,47,300.3,193.61,15,17,349.69,370.39,0.008020631,0.011409574,4.119361702,4.92295082,11.38882353,20.02,0.522719296,0.858760617,0.393810066,19.08473478
"23",47,165,1,8,5.38,56.67,0,6,0,148.73,0.343454545,0.114468085,7.08375,5.38,9.445,0,0.38102602,0,0.3,822,1322,10,17,64.8,126.71,9,0,311.58,0,0.095847201,0.078832117,7.453529412,6.48,0,7.2,0,0.20797227,0.38102602,0.20797227
"24",565,1991,0,9,0,95.61,0,7,0,111.56,0.048021095,0,10.62333333,0,13.65857143,0,0.857027608,0,0.08,14862,15433,141,165,1400.62,1752.04,90,53,2352.3,923.29,0.113525562,0.09424169,10.61842424,9.933475177,33.05735849,15.56244444,1.897605303,0.595425754,1.040577694,0.595425754
"25",2665,13444,24,107,158.48,1026.67,8,30,90.49,641.08,0.076366409,0.059467167,9.595046729,6.603333333,34.22233333,19.81,1.601469395,1.751353741,-0.71,955,2877,3,8,14.28,45.76,0,2,0,19,0.015905457,0.01495288,5.72,4.76,22.88,0,2.408421053,0,0.806951657,1.751353741
"26",60,54,1,4,3.8,37.31,0,4,0,105,0.690925926,0.063333333,9.3275,3.8,9.3275,0,0.355333333,0,0.04,1054,971,18,9,137.21,102.98,7,10,105,241.57,0.106055613,0.130180266,11.44222222,7.622777778,10.298,19.60142857,0.426294656,1.306761905,0.070961322,1.306761905
"27",5631,2501,112,28,339.62,91.66,8,1,316,0,0.03664934,0.060312555,3.273571429,3.032321429,91.66,42.4525,0,1.074746835,0.1,7913,7006,11,14,23.21,32.57,3,2,45,68.2,0.004648872,0.002933148,2.326428571,2.11,16.285,7.736666667,0.477565982,0.515777778,0.477565982,0.558969058
"28",434,2625,5,60,15.9,147.44,2,6,72,72,0.056167619,0.036635945,2.457333333,3.18,24.57333333,7.95,2.047777778,0.220833333,-0.55,14192,8317,141,68,439.46,181.85,6,2,144,72,0.021864855,0.030965333,2.674264706,3.116737589,90.925,73.24333333,2.525694444,3.051805556,0.477916667,2.830972222
"29",0,600,0,74,0,101.87,0,32,0,22.5,0.169783333,0,1.376621622,0,3.1834375,0,4.527555556,0,-1.12,0,342,0,6,0,5.62,0,2,0,0,0.016432749,0,0.936666667,0,2.81,0,0,0,4.527555556,0
"30",0,1141,0,66,0,72.9,0,11,0,11.25,0.063891323,0,1.104545455,0,6.627272727,0,6.48,0,-1.31,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48,0
"31",3023,2174,95,51,131.26,70.23,2,0,86.75,0,0.032304508,0.043420443,1.377058824,1.381684211,0,65.63,0,1.513083573,-0.02,13454,12871,311,317,764.43,754.3,20,33,552.25,782,0.058604615,0.056818047,2.379495268,2.457974277,22.85757576,38.2215,0.964578005,1.38421005,0.964578005,0.128873524
"32",2026,3824,34,74,191.68,524.64,0,15,0,397.5,0.137196653,0.094610069,7.08972973,5.637647059,34.976,0,1.319849057,0,-0.38,15589,16029,323,408,2865.13,3793.03,141,163,4350.73,4780.6,0.236635473,0.183791776,9.296642157,8.870371517,23.2701227,20.32007092,0.793421328,0.658540061,0.526427729,0.658540061
"33",5303,2585,35,16,134.16,59.83,6,5,154.9,39.2,0.023145068,0.025298887,3.739375,3.833142857,11.966,22.36,1.52627551,0.866107166,-0.07,12840,7135,58,28,155.81,96.36,14,0,347.41,0,0.013505256,0.012134735,3.441428571,2.68637931,0,11.12928571,0,0.448490256,1.52627551,0.417616909
"34",802,927,30,49,49.26,82.63,2,3,85.58,39.9,0.089137001,0.061421446,1.686326531,1.642,27.54333333,24.63,2.070927318,0.575601776,-0.1,2179,2272,51,51,86.54,91.53,6,10,165.13,428.29,0.040286092,0.039715466,1.794705882,1.696862745,9.153,14.42333333,0.213710336,0.524071943,1.857216982,0.051529833
"35",86,239,2,9,13.24,70.8,3,3,109.93,0,0.29623431,0.153953488,7.866666667,6.62,23.6,4.413333333,0,0.12044028,-0.01,1748,1586,21,24,108.07,129.24,11,5,279.93,108.28,0.08148802,0.061824943,5.385,5.146190476,25.848,9.824545455,1.19357222,0.386060801,1.19357222,0.265620521
"36",605,601,22,14,91.95,53.28,4,6,65.98,62.39,0.088652246,0.151983471,3.805714286,4.179545455,8.88,22.9875,0.85398301,1.393604122,-0.2,4852,5865,39,33,164.95,151.71,2,5,0,127.18,0.025867008,0.03399629,4.597272727,4.229487179,30.342,82.475,1.192876238,0,0.338893228,1.393604122
"37",59,66,6,2,47.81,9.99,5,3,214.91,23.19,0.151363636,0.810338983,4.995,7.968333333,3.33,9.562,0.430789133,0.222465218,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.430789133,0.222465218
"38",1153,1388,33,34,153.98,146.49,2,2,85.65,0,0.105540346,0.133547268,4.308529412,4.666060606,73.245,76.99,0,1.79778167,-0.63,9244,10137,73,76,262.36,296.69,17,12,466.07,295.96,0.029268028,0.028381653,3.903815789,3.593972603,24.72416667,15.43294118,1.00246655,0.562919733,1.00246655,1.234861936
"39",567,382,11,4,23.16,4.95,0,5,0,19.6,0.012958115,0.040846561,1.2375,2.105454545,0.99,0,0.25255102,0,0.1,6238,5097,53,44,94.48,78.28,6,17,108.58,466.61,0.015358054,0.01514588,1.779090909,1.782641509,4.604705882,15.74666667,0.167763228,0.870141831,0.084787792,0.870141831
"40",44,65,0,3,0,14.46,0,4,0,40.47,0.222461538,0,4.82,0,3.615,0,0.357301705,0,0,97,82,8,0,47.12,0,0,0,0,0,0,0.485773196,0,5.89,0,0,0,0,0.357301705,0
"41",317,291,11,15,28.12,49.16,0,5,0,42.79,0.168934708,0.088706625,3.277333333,2.556363636,9.832,0,1.148866558,0,-0.15,977,1020,23,29,97.77,135.65,12,11,279.93,293.7,0.132990196,0.100071648,4.677586207,4.250869565,12.33181818,8.1475,0.46186585,0.349265888,0.687000708,0.349265888
"42",257,295,9,13,26.22,34.44,10,4,329.08,39.9,0.116745763,0.102023346,2.649230769,2.913333333,8.61,2.622,0.863157895,0.079676674,-0.74,723,898,24,37,81.83,151.07,8,10,335.34,220.48,0.168229399,0.113181189,4.082972973,3.409583333,15.107,10.22875,0.685186865,0.244020994,0.17797103,0.164344319
"43",258,220,20,21,48.52,64.31,12,4,166.38,103.99,0.292318182,0.188062016,3.062380952,2.426,16.0775,4.043333333,0.618424849,0.291621589,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.618424849,0.291621589
"44",1186,755,33,16,66.75,33.02,2,4,19.6,153.96,0.043735099,0.056281619,2.06375,2.022727273,8.255,33.375,0.214471291,3.405612245,0.05,2676,2776,19,32,65.82,105.81,2,0,41.6,0,0.038115994,0.024596413,3.3065625,3.464210526,0,32.91,0,1.582211538,0.214471291,1.823400706
"45",994,575,20,20,50.22,41.19,2,3,21.55,167.57,0.071634783,0.050523139,2.0595,2.511,13.73,25.11,0.245807722,2.330394432,0.03,2603,1530,43,38,81.66,67.43,2,3,27.23,43.05,0.044071895,0.031371494,1.774473684,1.899069767,22.47666667,40.83,1.566318235,2.998898274,1.320510512,0.668503842
"46",100,1041,1,27,1.69,44.87,0,2,0,88.13,0.043102786,0.0169,1.661851852,1.69,22.435,0,0.509134234,0,0.1,2275,4075,29,35,54.51,64.46,7,6,66.71,144.45,0.015818405,0.02396044,1.841714286,1.879655172,10.74333333,7.787142857,0.446244375,0.817118873,0.062889858,0.817118873
"47",63,299,3,11,2.36,9.38,4,3,152.01,26,0.031371237,0.037460317,0.852727273,0.786666667,3.126666667,0.59,0.360769231,0.015525294,0.25,1080,1529,20,33,26.53,36.08,5,1,70.78,0,0.023597122,0.024564815,1.093333333,1.3265,36.08,5.306,0,0.374823396,0.360769231,0.359298102
"48",3197,1959,125,67,268.64,100.29,34,8,357.59,161.95,0.051194487,0.084028777,1.496865672,2.14912,12.53625,7.901176471,0.619265205,0.751251433,0.59,3822,2675,116,84,240.39,153.91,41,23,722.81,431.13,0.057536449,0.062896389,1.832261905,2.072327586,6.69173913,5.863170732,0.356992091,0.332577026,0.262273115,0.418674407
"49",990,634,70,49,85.53,37.61,3,2,68.24,0,0.059321767,0.086393939,0.76755102,1.221857143,18.805,28.51,0,1.253370457,0,465,556,41,45,37.97,35.2,7,7,149.14,91.68,0.063309353,0.081655914,0.782222222,0.926097561,5.028571429,5.424285714,0.383944154,0.254593,0.383944154,0.998777457
"50",1015,550,46,19,90.37,24.01,7,6,88.1,88.1,0.043654545,0.089034483,1.263684211,1.964565217,4.001666667,12.91,0.272531215,1.025766175,0.18,4177,4244,151,179,334.25,391.15,21,32,283.45,428.8,0.09216541,0.080021547,2.185195531,2.213576159,12.2234375,15.91666667,0.912196828,1.179220321,0.639665614,0.153454146
"51",2434,1060,80,39,136.96,79.61,5,5,72.58,66.13,0.075103774,0.056269515,2.041282051,1.712,15.922,27.392,1.203840919,1.887021218,-0.45,488,690,22,44,25.56,51.59,0,0,0,0,0.074768116,0.052377049,1.1725,1.161818182,0,0,0,0,1.203840919,1.887021218
"52",1589,1298,33,22,65.22,34.16,6,6,66.13,26,0.026317411,0.041044682,1.552727273,1.976363636,5.693333333,10.87,1.313846154,0.986239226,0.2,3331,2759,49,33,87.69,53.38,4,2,63.55,53.9,0.01934759,0.026325428,1.617575758,1.789591837,26.69,21.9225,0.990352505,1.379858379,0.323493649,0.393619153
