"Symbol","Open","Close","Volume"
"LQDT",5.75,5.8,58900
"FEUZ",43.55,43.45,5400
"PRIM",28,27.89,206600
"OMED",4.84,4.9,202100
"AGND",43.34,43.29,100400
"WEBK",27.8,27.9,2200
"MNDO",2.68,2.63,10800
"RTRX",22.39,21.8,222400
"VRNS",51,52.35,426700
"NFEC",1.03,1.02,18400
"HLG",41.36,41.75,44300
"CCD",20.51,20.44,28200
"PGLC",2.8,2.81,54100
"FHB",29.27,29.62,249500
"ZIONW",17.75,17.71,121500
"USAU",1.4,1.44,211100
"PTH",71.29,71.02,15700
"FAT",9.25,9.29,26700
"ROCK",32.9,33.05,218900
"WEB",23,22.7,242600
"GRVY",75.88,74.26,26100
"ENFC",29,29.15,8900
"CHRS",9,8.8,318100
"LUNA",2.31,2.31,453800
"RUTH",21.4,21.4,218900
"UPL",9.63,9.45,2725400
"HAYN",32.09,31.67,76900
"LIVE",14.71,14.98,7600
"CCXI",6.48,6.85,79200
"QTNT",4.87,4.78,75000
"HPT",29.98,29.91,459300
"ZUMZ",20.9,19.95,2652900
"FTGC",20.65,20.65,42900
"FLEX",18.06,18.01,4869200
"FLKS",4.23,4.18,16800
"IPCI",0.845,0.85,786600
"MRBK",18.365,18.35,3000
"VDSI",13.35,12.95,154000
"MLVF",26.3,26.7,4300
"OCLR",7.07,7.01,5764000
"FLL",3.68,3.68,115000
"CDXC",6.84,6.59,660100
"WNEB",10.6,10.65,35300
"NEON",0.83,0.81,95700
"EBAYL",26.95,27.01,26900
"DRAD",2.3,2.35,94000
"CXSE",83.28,82.72,39100
"DORM",68.11,67.1,392800
"GRFS",22.41,22.2,527200
"ACGL",94.63,94.86,633400
