Name,Country,Age,Sex,Height,Weight,Sport
Chiara Cainero,Italy,34,F,67,165,Shooting
Ciara Michel,Great Britain,27,F,76,154,Volleyball
Claudette Mukasakindi,Rwanda,29,F,63,110,Archery
Claudia Wurzel,Italy,25,F,71,146,Rowing
Daria Korczynska,Poland,31,F,66,132,Track/Field
Elizabeth Beisel,United States of America,19,F,66,146,Swimming
Evelyn Yesenia Garcia Marroquin,El Salvador,29,F,64,119,Cycling - Road
Giulia Rambaldi,Italy,25,F,70,170,Water Polo
Holley Mangold,United States of America,22,F,68,340,Weightlifting
Joanne Morgan,Great Britain,28,F,67,132,Volleyball
Joyce Sombroek,Netherlands,21,F,70,141,Hockey
Kim Conley,United States of America,26,F,63,108,Track/Field
Liu Ying Goh,Malaysia,23,F,65,110,Badminton
Maria Alexandra Escobar Guerrero,Ecuador,32,F,62,126,Weightlifting
Maria Vasco,Spain,36,F,62,104,Track/Field
Michelle Vittese,United States of America,22,F,63,128,Hockey
Paola Croce,Italy,34,F,66,115,Volleyball
Sara Hendershot,United States of America,24,F,71,165,Rowing
Sara Winther,New Zealand,30,F,65,148,Sailing
Sheilla Castro,Brazil,29,F,74,148,Volleyball
Shereefa Lloyd,Jamaica,29,F,66,134,Track/Field
Urszula Sadkowska,Poland,28,F,76,172,Judo
Valerie Vermeersch,Belgium,26,F,69,148,Hockey
Willy Kanis,Netherlands,28,F,68,176,Cycling-Track
Xiang Wei Jasmine Ser,Singapore,21,F,61,106,Shooting
Xuerui Li,People's Republic of China,21,F,67,132,Badminton
Christopher Duenas,Guam,20,M,73,185,Swimming
Emmanuel Dyen,France,33,M,71,154,Sailing
Gregory Wathelet,Belgium,31,M,75,187,Equestrian
Hiroshi Hoketsu,Japan,71,M,66,134,Equestrian
Kazuya Kaneda,Japan,24,M,67,146,Swimming
Marco Fortes,Portugal,29,M,74,298,Track/FIeld
Mickael Gelabale,France,29,M,79,198,Basketball
Minwoo Kim,Republic of Korea,22,M,68,152,Football
Nahom Mesfin,Ethiopia,23,M,71,137,Track/Field
Ramunas Navardauskas,Lithuania,24,M,75,172,Cycling - Road
Ruslan Ismailov,Kyrgyzstan,25,M,68,132,Shooting
Timothy Kitum,Kenya,17,M,67,132,Track/Field
Tonci Stipanovic,Croatia,26,M,70,183,Sailing
Victor Minibaev,Russian Federation,21,M,68,139,Diving
Youcef Abdi,Australia,34,M,70,146,Track/Field
Yu-Cheng Chen,Taipei (Chinese Taipei),19,M,71,159,Archery
