"Tree","Competition","Fertilizer","Height0","Height5","Diameter0","Diameter5","Ht.change","Di.change"
1,"NC","F",15,60,1.984375,7.4,45,5.415625
2,"NC","F",9,45.2,1.190625,5.2,36.2,4.009375
3,"NC","F",12,42,1.7859375,5.7,30,3.9140625
4,"NC","F",13.7,49.5,1.5875,6.4,35.8,4.8125
5,"NC","F",12,47.3,1.5875,6.2,35.3,4.612500000000001
6,"NC","F",12,56.4,1.5875,7.4,44.4,5.8125
7,"NC","NF",16.8,43.5,1.984375,4.9,26.7,2.9156250000000004
8,"NC","NF",14.6,49.2,1.984375,5.4,34.6,3.4156250000000004
9,"NC","NF",16,54,1.984375,7.1,38,5.115625
10,"NC","NF",15.4,45,1.984375,5.1,29.6,3.1156249999999996
11,"NC","NF",11.7,38,1.3890625,4.1,26.3,2.7109374999999996
12,"NC","NF",15,60.5,1.5875,7.3,45.5,5.7125
13,"C","F",13.1,45.4,1.984375,6.3,32.3,4.315625
14,"C","F",11,50,1.5875,6.2,39,4.612500000000001
15,"C","F",16,53,2.1828125,5.6,37,3.4171875
16,"C","F",13.5,54,1.5875,6.3,40.5,4.7125
17,"C","F",11.6,39,1.5875,4.5,27.4,2.9125
18,"C","F",13.5,54.2,1.984375,6.5,40.7,4.515625
19,"C","NF",13.2,28.3,1.5875,3.4,15.100000000000001,1.8125
20,"C","NF",15.8,29.5,2.38125,3.4,13.7,1.0187499999999998
21,"C","NF",13.5,42,1.7859375,4.6,28.5,2.8140624999999995
22,"C","NF",13.4,29,1.984375,4.2,15.6,2.215625
23,"C","NF",12.5,31,1.984375,3.5,18.5,1.515625
24,"C","NF",14.7,38,1.984375,4.7,23.3,2.715625
25,"NC","F",11.5,63,1.984375,8.7,51.5,6.715624999999999
26,"NC","F",13.7,64.5,1.7859375,8.4,50.8,6.6140625
27,"NC","F",18.7,58.3,1.984375,7.1,39.599999999999994,5.115625
28,"NC","F",15.8,66.2,1.5875,9.1,50.400000000000006,7.512499999999999
29,"NC","F",17.5,62.2,1.984375,8,44.7,6.015625
30,"NC","F",15,63,1.7859375,8.9,48,7.1140625
31,"NC","NF",17,53,1.984375,6.9,36,4.915625
32,"NC","NF",14.2,46.2,1.5875,4.9,32,3.3125000000000004
33,"NC","NF",11.2,41.4,1.5875,4.3,30.2,2.7125
34,"NC","NF",16.7,36.2,1.984375,4.8,19.500000000000004,2.815625
35,"NC","NF",12.5,46.9,1.5875,5.2,34.4,3.6125000000000003
36,"NC","NF",15.2,43.5,1.984375,5.8,28.3,3.815625
37,"C","F",15.5,43,1.984375,7.1,27.5,5.115625
38,"C","F",13.7,43.2,1.984375,5.9,29.500000000000004,3.9156250000000004
39,"C","F",17.8,48,1.984375,6.4,30.2,4.415625
40,"C","F",12.8,41,1.5875,6.3,28.2,4.7125
41,"C","F",15,46,2.38125,5.7,31,3.31875
42,"C","F",15,45.5,1.984375,6,30.5,4.015625
43,"C","NF",14,40,1.7859375,4.3,26,2.5140624999999996
44,"C","NF",15.7,24,1.7859375,3.7,8.3,1.9140625000000002
45,"C","NF",15.1,37.1,1.5875,4.3,22,2.7125
46,"C","NF",14,30,1.984375,4.3,16,2.315625
47,"C","NF",14.6,35,1.984375,3.9,20.4,1.915625
48,"C","NF",16,37,1.984375,4.1,21,2.1156249999999996
49,"NC","F",17,68,2.38125,11.3,51,8.918750000000001
50,"NC","F",17.3,56,1.7859375,9.4,38.7,7.6140625
51,"NC","F",18.2,68,2.38125,8.9,49.8,6.518750000000001
52,"NC","F",15,55.4,1.984375,8.7,40.4,6.715624999999999
53,"NC","F",15.3,62,2.1828125,8.7,46.7,6.5171874999999995
54,"NC","F",17,48.6,2.38125,8.1,31.6,5.71875
55,"NC","NF",16,45,1.984375,6.5,29,4.515625
56,"NC","NF",16.4,43.5,1.984375,5.1,27.1,3.1156249999999996
57,"NC","NF",14.8,37.7,2.38125,4.3,22.900000000000002,1.9187499999999997
58,"NC","NF",12,40,1.7859375,4.7,28,2.9140625
59,"NC","NF",14.5,40.5,1.7859375,5.2,26,3.4140625
60,"NC","NF",17.1,35,2.38125,4.9,17.9,2.5187500000000003
61,"C","F",14.3,52,2.38125,6.7,37.7,4.31875
62,"C","F",12.5,64,1.984375,9,51.5,7.015625
63,"C","F",14.7,50,2.38125,7,35.3,4.61875
64,"C","F",16.3,46.2,2.1828125,6.8,29.900000000000002,4.6171875
65,"C","F",16.2,47,2.38125,7.8,30.8,5.418749999999999
66,"C","F",17.5,47,2.38125,6.6,29.5,4.21875
67,"C","NF",16.2,24.7,1.984375,3.3,8.5,1.3156249999999998
68,"C","NF",11.3,26.4,1.5875,2.7,15.099999999999998,1.1125000000000003
69,"C","NF",17.5,36,1.984375,3.8,18.5,1.8156249999999998
70,"C","NF",13.3,24.4,1.7859375,3.5,11.099999999999998,1.7140625
71,"C","NF",11,27.2,2.38125,4,16.2,1.61875
72,"C","NF",14.6,33.6,2.38125,4.5,19,2.11875
