ID,Race,Age,Wins
1,Protoss,20,29
2,Protoss,19,27
3,Protoss,19,26
4,Protoss,18,19
5,Protoss,22,23
6,Protoss,18,25
7,Protoss,24,19
8,Protoss,20,20
9,Protoss,21,19
10,Protoss,18,21
11,Protoss,22,16
12,Protoss,23,21
13,Protoss,21,18
14,Protoss,19,18
15,Protoss,24,17
16,Terran,18,26
17,Terran,16,21
18,Terran,20,25
19,Terran,18,24
20,Terran,20,23
21,Terran,18,26
22,Terran,17,22
23,Terran,21,21
24,Terran,21,21
25,Terran,21,20
26,Terran,18,22
27,Terran,23,20
28,Terran,18,22
29,Terran,19,21
30,Terran,17,24
31,Zerg,18,28
32,Zerg,20,24
33,Zerg,20,20
34,Zerg,21,23
35,Zerg,22,17
36,Zerg,18,20
37,Zerg,20,15
38,Zerg,24,17
39,Zerg,23,14
40,Zerg,21,18
41,Zerg,23,12
42,Zerg,21,15
43,Zerg,24,16
44,Zerg,18,14
45,Zerg,23,11
