"Date2010","AveKW","AveSpeed","Production"
"Feb 14",547.9,7.8,13146
"Feb 15",776,8.9,18626
"Feb 16",944.4,9.7,22667
"Feb 17",506.2,7.7,12148
"Feb 18",322.9,6.4,7742
"Feb 19",67.9,3.1,1585
"Feb 20",79.9,3.9,1876
"Feb 21",123.6,4.5,2936
"Feb 22",273.3,6.5,6559
"Feb 23",626.8,7.8,15041
"Feb 24",242.2,5.8,5800
"Feb 25",2.2,2.5,6
"Feb 26",124.6,3.8,2940
"Feb 27",494.6,7.7,11871
"Feb 28",187.2,5.8,4481
"Mar 01",303.5,5.9,7258
"Mar 02",74.6,3.5,1743
"Mar 03",148.6,5.1,3543
"Mar 04",120.2,4.2,2848
"Mar 05",581.9,8,13965
"Mar 06",503.6,7.6,12087
"Mar 07",89.4,3.5,2099
"Mar 08",210.1,5.9,5037
"Mar 09",347.9,7.1,8348
"Mar 10",594.9,8.4,14279
"Mar 11",611.5,8.2,14674
"Mar 12",35.3,3.1,793
"Mar 13",675,8.7,16202
"Mar 14",317,6.7,7607
"Mar 15",334.3,6.7,8019
"Mar 16",201.5,5.8,4833
"Mar 17",255.7,6,6125
"Mar 18",454.2,6.7,10870
"Mar 19",564.1,8.6,13768
"Mar 20",278.4,6.4,6678
"Mar 21",72.4,3.7,1692
"Mar 22",405.6,7.6,9708
"Mar 23",304.1,6.7,7226
"Mar 24",176.2,6.3,4190
"Mar 25",736.1,8.5,17666
"Mar 26",1072,10.2,25729
"Mar 27",601.5,7.1,14420
"Mar 28",448.3,7,10752
"Mar 29",849.6,9.2,20386
"Mar 30",841.2,13.2,20146
"Mar 31",271.4,8.4,6485
"Apr 01",867.2,9.9,20811
"Apr 02",945.6,11.3,22663
"Apr 03",824.2,9.1,19781
"Apr 04",716.9,8.7,17201
"Apr 05",318.5,5.9,7618
"Apr 06",971.4,10,23315
"Apr 07",884.4,9.4,21225
"Apr 08",309.3,6.5,7418
"Apr 09",438.9,6.2,10502
"Apr 10",276.8,5.4,6613
"Apr 11",160.1,4.9,3814
"Apr 12",755.8,9,18139
"Apr 13",1149,10.9,27572
"Apr 14",315,9.6,7514
"Apr 15",898.3,9.3,21554
"Apr 16",1142.6,10.6,27422
"Apr 17",434.2,7.1,10411
"Apr 18",44.7,4.3,1047
"Apr 19",148.4,4.8,3530
"Apr 20",175.9,4.3,4169
"Apr 21",356.4,7,8552
"Apr 22",80.6,3.7,1889
"Apr 23",1041,10.5,24985
"Apr 24",623.1,8.2,14952
"Apr 25",981,10,23546
"Apr 26",218.1,5.2,5208
"Apr 27",233.7,5.7,5589
"Apr 28",614.5,8,14744
"Apr 29",1285.6,12.2,30854
"Apr 30",556.3,7.6,13338
"May 01",1111.7,11.1,26680
"May 02",781.7,9.2,18762
"May 03",339.2,6.4,8127
"May 04",727.3,8.5,17443
"May 05",1254.4,12.9,30096
"May 06",190.2,4.5,4522
"May 07",164.6,5.1,3925
"May 08",732.7,8.7,17584
"May 09",88.8,3.8,2091
"May 10",1210.8,11,29059
"May 11",660,8.3,15841
"May 12",432.7,7.2,10386
"May 13",490,6.9,11744
"May 14",881.8,9.4,21164
"May 15",77.5,4.6,1830
"May 16",286.5,6.6,6870
"May 17",149.8,5.1,3568
"May 18",100.2,4.8,2370
"May 19",166.2,5,3959
"May 20",426.4,6.9,10224
"May 21",170.2,5.1,4060
"May 22",1005.6,11.2,24132
"May 23",1139.4,11,27343
"May 24",690,10.6,16531
