"Team","HitPercent","Assts","Kills"
"Penn St.",38.1,13.64,14.62
"Texas",33.800000000000004,13.37,14.59
"Hawaii",30.5,13.56,14.58
"Florida St.",30,12.6,13.75
"Florida",29.099999999999998,13.21,14.47
"Washington",28.799999999999997,13.35,14.25
"Md.-East. Shore",28.799999999999997,11.87,12.76
"Middle Tenn.",28.1,12.78,13.65
"St. Mary's (CA)",27.900000000000002,13.31,14.24
"Kentucky",27.900000000000002,13.63,14.74
"Ohio",27.3,12.77,14.06
"California",27.1,12.89,13.95
"LSU",26.900000000000002,13.22,13.99
"Stanford",26.8,13.03,13.85
"Ohio St.",26.8,12.26,13.32
"UNI",26.700000000000003,13.65,14.83
"Oregon",26.6,13.83,14.69
"Lipscomb",26.3,13.79,14.75
"Tulsa",26.200000000000003,13.48,14.43
"Western Ky.",26.1,11.94,13.06
"St. Louis",26.1,12.73,14.04
"Clemson",25.8,12.14,13.36
"Nebraska",25.6,13.63,14.65
"Yale",25.5,12.8,14.02
"Duke",25.5,12.9,13.83
"Minnesota",25.4,12.88,13.86
"FIU",25.4,13.42,14.52
"Louisville",25.4,11.92,12.99
"Notre Dame",25.3,12.55,13.68
"Pepperdine",25,12.9,13.93
