"Length","Weight"
11.1,0.4
16.1,1.39
20.7,2.8
14.3,1.03
11.5,0.5
15.7,0.9
12.5,0.6
15.3,1.3
26.6,7.5
17.8,2.2
15.2,1.2
15,1
20.8,3.5
11,0.4
21,3.1
14.1,1.2
12.5,0.6
13.5,0.8
16.4,1.2
29.3,10.3
12.7,0.8
12.6,0.6
11,0.4
20,2
14.6,1.1
20.5,3
23.3,5.4
16.2,1.5
9.2,0.4
25.5,5.5
15.9,1.4
17.6,1.6
20.8,3
11,0.4
17.2,1.9
14.7,1.08
20.5,3.1
9.1,0.3
10.3,0.3
19.4,2.66
13.6,0.81
20.3,2.8
16,1.4
22,4
12.5,0.8
14.2,1
17.5,2.2
16.1,1.47
13.5,0.7
24.2,4.5
12.8,0.68
20.6,3.1
10.5,0.4
27,6.4
14,1.1
10.9,0.4
17.6,1.8
16.1,1.7
23.6,4.5
15.8,1.2
