"Depth","Alive"
50,1
43,1
50,1
46,1
25,1
19,1
30,1
35,1
8,1
8,0
11,1
9,1
30,1
46,1
38,1
34,1
24,1
30,1
34,1
36,1
12,1
18,1
20,1
22,1
25,1
18,1
30,1
23,1
6,1
4,1
6,1
6,1
4,1
3,0
10,1
4,0
36,1
42,1
27,1
42,1
47,1
56,1
50,1
51,1
48,1
48,1
53,1
55,1
30,1
29,1
28,1
25,1
28,1
25,1
27,1
27,1
24,1
20,1
26,1
22,1
2,0
6,0
8,1
9,0
9,1
1,0
8,0
8,0
1,0
4,0
3,0
8,0
26,1
31,1
31,1
32,1
30,1
24,1
30,1
28,1
15,1
19,1
20,1
24,1
19,1
15,1
17,1
20,1
5,0
9,1
7,1
11,0
7,1
9,1
8,1
9,1
33,1
37,1
36,1
36,1
46,1
41,1
44,1
47,1
25,1
24,1
24,1
21,1
20,1
24,1
23,1
22,1
2,0
1,0
5,0
3,0
4,0
4,0
7,0
7,0
43,1
43,1
47,1
36,1
32,1
30,1
29,1
33,1
22,1
24,1
23,1
22,1
18,1
18,1
21,1
17,1
14,1
13,0
13,1
14,1
5,0
10,0
13,1
4,0
43,1
40,1
47,1
50,1
39,1
39,1
48,1
50,1
41,1
40,1
39,1
38,1
20,1
18,1
26,1
18,1
19,1
20,1
18,1
25,1
23,1
19,1
27,1
26,1
9,0
9,0
11,0
10,0
8,0
6,0
14,0
12,0
10,1
13,1
15,1
12,1
41,1
42,1
48,1
45,1
38,1
39,1
38,1
39,1
40,1
36,1
38,1
39,1
17,1
18,1
20,1
22,1
18,1
18,1
20,1
19,1
13,1
18,1
22,1
24,1
6,0
10,0
9,0
13,0
7,0
4,0
5,0
7,0
5,0
7,0
4,0
11,0
30,1
31,1
42,1
35,1
30,1
30,1
32,1
50,1
18,1
17,1
30,1
27,1
17,1
18,1
22,1
20,1
13,1
11,1
12,1
11,0
7,0
4,0
7,0
8,0
45,1
37,1
50,1
44,1
18,1
13,1
17,1
19,1
10,1
10,1
11,0
7,0
37,1
36,1
36,1
30,1
30,1
24,1
37,1
32,1
12,1
14,1
23,1
22,1
15,1
24,1
24,1
17,1
12,1
12,1
16,1
16,0
10,1
8,0
9,1
11,1
67,1
69,1
64,1
65,1
35,1
35,1
40,1
40,1
50,1
55,1
50,1
53,1
14,1
16,1
18,1
21,1
28,1
27,1
22,1
30,1
21,1
20,1
28,1
25,1
14,1
12,1
14,1
14,1
10,0
6,0
4,0
8,0
8,1
10,0
11,0
11,1
28,1
27,1
32,1
43,1
27,1
35,1
37,1
33,1
16,1
16,1
20,1
18,1
17,1
15,1
17,1
18,1
14,1
9,0
18,1
15,1
11,0
11,0
12,0
12,0
33,1
30,1
30,1
33,1
14,1
18,1
17,1
16,1
10,1
7,1
10,0
12,0
28,1
21,1
34,1
34,1
20,1
19,1
20,1
27,1
11,1
11,1
11,1
9,0
