"College","Games","DigsGame","KillsGame","AssistsGame","HittingPct","BlocksGame","OppHitPct"
"Augsburg College",38,17.95,11.53,10.53,8.4,1.28,24.3
"Bethel University",38,19.76,15.21,13.68,18.3,1.74,16.3
"Carleton College",40,19.38,14.55,13,21,1.89,12
"Concordia College",40,18.9,14.75,13.38,22.7,2.88,16.2
"Gustavus Adolphus",38,19.68,15.26,14.26,19.2,2.46,18.2
"Hamline University",40,16.25,12.1,10.82,16.3,2.25,21.6
"Macalester College",42,15.5,12.71,11.64,19.8,2,23.9
"Saint Benedict",40,17.62,14.77,12.8,22.3,2.35,12.9
"St. Catherine",38,16.92,10.66,9.84,8,1.38,21.2
"St. Mary's Univ",44,17.5,12.5,10.84,15,1.62,22.3
"St. Olaf College",41,16.88,15.78,14.54,23.200000000000003,1.51,18
"Univ. of St. Thomas",37,17.03,16.38,14.68,25.1,2.73,13.5
